"gene","train_test","tissue","Pearson","name"
"CD31","LymphNode1","Lymph Node",0.847953829300195,""
"CD31","LymphNode2","Lymph Node",0.859803841902979,""
"CD31","Spleen1","Spleen",0.850000628239806,""
"CD31","Spleen2","Spleen",0.821129703704408,""
"CD317","LymphNode1","Lymph Node",0.581717834219121,""
"CD317","LymphNode2","Lymph Node",0.561838262754671,""
"CD317","Spleen1","Spleen",0.871723580472263,""
"CD317","Spleen2","Spleen",0.836209491785546,""
"CD352","LymphNode1","Lymph Node",0.627174462647381,""
"CD352","LymphNode2","Lymph Node",0.619137913483264,""
"CD352","Spleen1","Spleen",0.81072072401366,""
"CD352","Spleen2","Spleen",0.797575153307292,""
"CD357","LymphNode1","Lymph Node",0.824608199689594,""
"CD357","LymphNode2","Lymph Node",0.834494499852607,""
"CD357","Spleen1","Spleen",0.839429155873501,""
"CD357","Spleen2","Spleen",0.835564090979626,""
"CD366","LymphNode1","Lymph Node",0.326150851873122,""
"CD366","LymphNode2","Lymph Node",0.36621496714112,""
"CD366","Spleen1","Spleen",0.792682646834658,""
"CD366","Spleen2","Spleen",0.787038005718592,""
"CD371","LymphNode1","Lymph Node",0.788385704164392,""
"CD371","LymphNode2","Lymph Node",0.79530555101738,""
"CD371","Spleen1","Spleen",0.86046666968285,""
"CD371","Spleen2","Spleen",0.847889403405223,""
"CD38","LymphNode1","Lymph Node",0.94966499924585,""
"CD38","LymphNode2","Lymph Node",0.950910509159085,""
"CD38","Spleen1","Spleen",0.957201530517261,""
"CD38","Spleen2","Spleen",0.957001812571415,""
"CD4","LymphNode1","Lymph Node",0.9750419008931,""
"CD4","LymphNode2","Lymph Node",0.97894992656351,""
"CD4","Spleen1","Spleen",0.964812351472217,""
"CD4","Spleen2","Spleen",0.966926915471121,""
"CD40","LymphNode1","Lymph Node",0.944255998459829,""
"CD40","LymphNode2","Lymph Node",0.946305371039026,""
"CD40","Spleen1","Spleen",0.954157855997827,""
"CD40","Spleen2","Spleen",0.948771996691073,""
"CD41","LymphNode1","Lymph Node",0.682454499421527,""
"CD41","LymphNode2","Lymph Node",0.688023406676939,""
"CD41","Spleen1","Spleen",0.609761502771908,""
"CD41","Spleen2","Spleen",0.57736188251956,""
"CD43","LymphNode1","Lymph Node",0.934739957739004,""
"CD43","LymphNode2","Lymph Node",0.936451855633368,""
"CD43","Spleen1","Spleen",0.951308746313268,""
"CD43","Spleen2","Spleen",0.951165608426581,""
"CD44","LymphNode1","Lymph Node",0.801109247171121,""
"CD44","LymphNode2","Lymph Node",0.800414277198826,""
"CD44","Spleen1","Spleen",0.922392033877051,""
"CD44","Spleen2","Spleen",0.921517986562452,""
"CD45","LymphNode1","Lymph Node",0.754683213410424,""
"CD45","LymphNode2","Lymph Node",0.769219908813859,""
"CD45","Spleen1","Spleen",0.80991787209596,""
"CD45","Spleen2","Spleen",0.800325799758878,""
